Country,Count,Average Score
US,62397,87.81324422648525
Spain,8268,86.64658925979681
France,21098,88.92586975068727
Italy,23478,88.40974529346623
New Zealand,3320,87.55421686746988
Bulgaria,77,85.46753246753246
Argentina,5631,85.9960930562955
Australia,4957,87.89247528747227
Portugal,5322,88.05768508079669
Israel,630,87.17619047619047
South Africa,2258,87.22542072630647
Greece,884,86.11764705882354
Chile,5816,86.29676753782668
Morocco,12,88.16666666666667
Romania,139,84.92086330935251
Germany,2452,88.62642740619903
Canada,196,88.23979591836735
Moldova,71,84.71830985915493
Hungary,231,87.32900432900433
Austria,3057,89.27674190382729
Croatia,89,86.28089887640449
Slovenia,94,88.23404255319149
India,8,87.625
Turkey,52,88.09615384615384
Macedonia,16,84.8125
Lebanon,37,85.70270270270271
Serbia,14,87.71428571428571
Uruguay,92,84.47826086956522
Switzerland,4,87.25
Albania,2,88.0
Bosnia and Herzegovina,4,84.75
Brazil,25,83.24
Cyprus,31,85.87096774193549
Lithuania,8,84.25
Japan,2,85.0
China,3,82.0
South Korea,4,81.5
Ukraine,5,84.6
England,9,92.88888888888889
Mexico,63,84.76190476190476
Georgia,43,85.51162790697674
Montenegro,2,82.0
Luxembourg,9,87.0
Slovakia,3,83.66666666666667
Czech Republic,6,85.83333333333333
Egypt,3,83.66666666666667
Tunisia,2,86.0
US-France,1,88.0
